OTUID	E1P10A04	E1P10A06	E1P10A07	E1P10A09	E1P10A11	E1P10B03	E1P10B05	E1P10B06	E1P10B07	E1P10B08	E1P10B09	E1P10B11	E1P10B12	E1P10C02	E1P10C04	E1P10C05	E1P10C06	E1P10C07	E1P10C08	E1P10C09	E1P10C10	E1P10C11	E1P10C12	E1P10D02	E1P10D03	E1P10D04	E1P10D05	E1P10D06	E1P10D07	E1P10D08	E1P10D09	E1P10D10	E1P10D12	E1P10E01	E1P10E02	E1P10E03	E1P10E04	E1P10E05	E1P10E06	E1P10E07	E1P10E08	E1P10E09	E1P10E10	E1P10E12	E1P10F04	E1P10F05	E1P10F06	E1P10F07	E1P10F08	E1P10F09	E1P10F10	E1P10F11	E1P10F12	E1P10G01	E1P10G02	E1P10G03	E1P10G04	E1P10G06	E1P10G07	E1P10G08	E1P10G09	E1P10G10	E1P10G12	E1P10H02	E1P10H03	E1P10H04	E1P10H05	E1P10H06	E1P10H07	E1P10H08	E1P10H09	E1P10H10	E1P10H11	E1P10H12	E1P13C12	E1P15A05	E1P15B07	E1P15B09	E1P15C03	E1P15C06	E1P15D05	E1P15D07	E1P15D09	E1P15E06	E1P15F07	E1P15G02	E1P15G03	E1P15G09	E1P15H06	E1P15H09	E1P16A01	E1P16A03	E1P16A09	E1P16B04	E1P16B12	E1P16C02	E1P16C09	E1P16C12	E1P16D07	E1P16D08	E1P16E07	E1P16E08	E1P16F03	E1P16F07	E1P16G01	E1P16G02	E1P16G03	E1P16G04	E1P16G07	E1P16G09	E1P16G10	E1P16H04	E1P16H07	E1P16H12	E1P19A03	E1P19B03	E1P19B04	E1P19B07	E1P19B09	E1P19C02	E1P19C06	E1P19C07	E1P19D02	E1P19D03	E1P19D09	E1P19E03	E1P19E05	E1P19E07	E1P19E09	E1P19E12	E1P19F01	E1P19F02	E1P19F03	E1P19F04	E1P19F06	E1P19F07	E1P19F09	E1P19G07	E1P19G09	E1P19H02	E1P19H03	E1P19H04	E1P19H09	E1P1D04	E1P1E02	E1P1F07	E1P1G04	E1P20B05	E1P20B11	E1P20C09	E1P20D05	E1P20E01	E1P20E02	E1P20E12	E1P20F05	E1P20F07	E1P20F12	E1P20G03	E1P20G08	E1P20H12	E1P21A02	E1P21A09	E1P21B07	E1P21C07	E1P21C12	E1P21D03	E1P21D04	E1P21D05	E1P21D06	E1P21E08	E1P21F09	E1P21F12	E1P21G07	E1P21G10	E1P22A07	E1P22B11	E1P22C03	E1P22C06	E1P22C10	E1P22C11	E1P22C12	E1P22D04	E1P22D09	E1P22F02	E1P22F03	E1P22F04	E1P22F05	E1P22F06	E1P22G03	E1P22G04	E1P22G09	E1P22H02	E1P22H03	E1P23B07	E1P23B09	E1P23C07	E1P23C08	E1P23C11	E1P23C12	E1P23E04	E1P23E08	E1P23E09	E1P23E10	E1P23E11	E1P23E12	E1P23F06	E1P23F08	E1P23F09	E1P23G09	E1P23H12	E1P24A03	E1P24A07	E1P24A08	E1P24A09	E1P24B02	E1P24C03	E1P24E02	E1P24E03	E1P24E04	E1P24E05	E1P24E09	E1P24H08	E1P24H09	E1P25A07	E1P25D05	E1P25D06	E1P25D07	E1P25D08	E1P25E01	E1P25E02	E1P25E04	E1P25E05	E1P25E06	E1P25E07	E1P25E09	E1P25F05	E1P25G01	E1P25H04	E1P25H06	E1P25H08	E1P25H09	E1P26A04	E1P26C11	E1P26G11	E1P26H08	E1P27A04	E1P27A05	E1P27A10	E1P27A11	E1P27B09	E1P27B10	E1P27B11	E1P27C01	E1P27C04	E1P27C05	E1P27C11	E1P27C12	E1P27D01	E1P27D04	E1P27D07	E1P27D10	E1P27D11	E1P27D12	E1P27E04	E1P27E05	E1P27E10	E1P27E11	E1P27F04	E1P27F10	E1P27G04	E1P27G11	E1P27G12	E1P27H04	E1P27H05	E1P27H10	E1P28A01	E1P28A07	E1P28A11	E1P28B02	E1P28B04	E1P28B08	E1P28B09	E1P28C02	E1P28C08	E1P28C09	E1P28C10	E1P28D05	E1P28D08	E1P28D09	E1P28E07	E1P28F07	E1P28F08	E1P28F09	E1P28G02	E1P28H02	E1P28H04	E1P28H08	E1P28H09	E1P29A09	E1P29B07	E1P29B08	E1P29B10	E1P29C08	E1P29C12	E1P29D04	E1P29D05	E1P29D06	E1P29D07	E1P29E01	E1P29E08	E1P29E09	E1P29F01	E1P29F07	E1P29F08	E1P29F09	E1P29F10	E1P29G04	E1P29G05	E1P29G06	E1P29G07	E1P29G12	E1P29H01	E1P29H07	E1P2B04	E1P2B07	E1P2C05	E1P2D02	E1P2D03	E1P2D04	E1P2D07	E1P2D08	E1P2E04	E1P2E07	E1P2E09	E1P2F08	E1P2G06	E1P2H04	E1P30A04	E1P30B03	E1P30C10	E1P30D02	E1P30D03	E1P30D04	E1P30D08	E1P30E10	E1P30F01	E1P30F08	E1P30F10	E1P30F11	E1P30F12	E1P30G08	E1P31A08	E1P31A10	E1P31B01	E1P31B07	E1P31B09	E1P31C03	E1P31C07	E1P31C09	E1P31D07	E1P31E07	E1P31E08	E1P31E09	E1P31F04	E1P31F12	E1P31G07	E1P31G10	E1P31H08	E1P31H09	E1P32B06	E1P32C04	E1P32C05	E1P32C07	E1P32D07	E1P32D08	E1P32E04	E1P32E05	E1P32E07	E1P32F04	E1P32G06	E1P33B03	E1P33C02	E1P33C07	E1P33E04	E1P33E09	E1P33F05	E1P33G06	E1P33H03	E1P34A03	E1P34B04	E1P34C03	E1P34C06	E1P34D02	E1P34D03	E1P34E02	E1P34E03	E1P34E12	E1P34F01	E1P34F03	E1P34F04	E1P34F09	E1P34G02	E1P34G03	E1P34H03	E1P34H04	E1P35A01	E1P35A03	E1P35A06	E1P35A07	E1P35B02	E1P35B04	E1P35B06	E1P35B07	E1P35C05	E1P35C07	E1P35H01	E1P36A09	E1P36B03	E1P36B09	E1P36C03	E1P36C09	E1P36D06	E1P36D09	E1P36E03	E1P36E09	E1P36F09	E1P36G03	E1P36G09	E1P36H09	E1P37A02	E1P37A03	E1P37B02	E1P37B03	E1P37B04	E1P37B05	E1P37B06	E1P37B07	E1P37B09	E1P37C02	E1P37C03	E1P37C04	E1P37C06	E1P37C07	E1P37C08	E1P37D03	E1P37D04	E1P37D05	E1P37D08	E1P37E02	E1P37E03	E1P37G02	E1P37G03	E1P37H02	E1P37H04	E1P38A04	E1P38A06	E1P38A07	E1P38C03	E1P38C06	E1P38E10	E1P38F07	E1P38G03	E1P38G07	E1P38H04	E1P38H06	E1P38H09	E1P39C07	E1P39F01	E1P39F03	E1P39F09	E1P39G04	E1P40A05	E1P40B04	E1P40C02	E1P40C03	E1P40C04	E1P40C05	E1P40D02	E1P40D03	E1P40D04	E1P40D05	E1P40D08	E1P40E02	E1P40E03	E1P40E04	E1P40E05	E1P40E07	E1P40E10	E1P40G01	E1P40G04	E1P40G08	E1P41A01	E1P41A03	E1P41A04	E1P41A05	E1P41B01	E1P41B03	E1P41B04	E1P41B07	E1P41C02	E1P41C03	E1P41C04	E1P41C05	E1P41D02	E1P41D03	E1P41D04	E1P41D05	E1P41E03	E1P42A04	E1P42A07	E1P42B06	E1P42D06	E1P42D07	E1P42G08	E1P42H07	E1P43A11	E1P43B09	E1P43B11	E1P43B12	E1P43C07	E1P43C08	E1P43C09	E1P43D05	E1P43D08	E1P43D09	E1P43E02	E1P43E03	E1P43E07	E1P43E09	E1P43F07	E1P43F08	E1P43F09	E1P43F12	E1P43G07	E1P44A02	E1P44A09	E1P44B07	E1P44B08	E1P44B09	E1P44C07	E1P44C09	E1P44D08	E1P44D09	E1P44F02	E1P44F04	E1P44F08	E1P44G02	E1P44G06	E1P44G07	E1P44G09	E1P44H02	E1P45A02	E1P45A04	E1P45A08	E1P45A09	E1P45C12	E1P45D05	E1P45E02	E1P45E07	E1P45E09	E1P45F03	E1P45G02	E1P45G09	E1P45H02	E1P46A04	E1P46A09	E1P46A10	E1P46B04	E1P46B07	E1P46B09	E1P46B10	E1P46B12	E1P46C12	E1P46E04	E1P46E06	E1P46E07	E1P46E12	E1P46F02	E1P46F03	E1P46F06	E1P46F07	E1P46F08	E1P46F09	E1P46F12	E1P46G02	E1P46G03	E1P46G08	E1P46G09	E1P46H06	E1P46H07	E1P46H09	E1P46H10	E1P46H12	E1P47A01	E1P47A06	E1P47A10	E1P47B05	E1P47B09	E1P47C04	E1P47C05	E1P47C06	E1P47C09	E1P47C10	E1P47D05	E1P47D08	E1P47D09	E1P47E06	E1P47E07	E1P47E12	E1P47F02	E1P47F04	E1P47F06	E1P47F09	E1P47F12	E1P47G07	E1P47G10	E1P47G12	E1P47H04	E1P47H06	E1P47H09	E1P47H11	E1P48A09	E1P48A10	E1P48B04	E1P48B07	E1P48B09	E1P48C01	E1P48C04	E1P48D03	E1P48D05	E1P48D06	E1P48D12	E1P48E01	E1P48E04	E1P48F03	E1P48G01	E1P48G02	E1P48G04	E1P48H02	E1P48H03	E1P48H09	E1P49A11	E1P49B02	E1P49B04	E1P49B08	E1P49C02	E1P49C03	E1P49C05	E1P49D05	E1P49D08	E1P49E04	E1P49E08	E1P49E10	E1P49E11	E1P49F02	E1P49F04	E1P49G01	E1P49H04	E1P49H05	E1P49H08	E1P4B03	E1P4B12	E1P4C01	E1P4C02	E1P4C03	E1P4C04	E1P4C12	E1P4D01	E1P4D02	E1P4D03	E1P4D04	E1P4E01	E1P4E04	E1P4E06	E1P4E11	E1P4F03	E1P4F04	E1P4G01	E1P4H01	E1P4H02	E1P4H03	E1P4H12	E1P50A04	E1P50A05	E1P50B04	E1P50B06	E1P50C04	E1P50C05	E1P50C07	E1P50C08	E1P50D02	E1P50D04	E1P50D05	E1P50D06	E1P50D07	E1P50E03	E1P50E06	E1P50F03	E1P50G02	E1P50G03	E1P50H03	E1P50H04	E1P50H06	E1P51A05	E1P51A09	E1P51B01	E1P51B03	E1P51B06	E1P51B08	E1P51B09	E1P51B12	E1P51D02	E1P51E01	E1P51E03	E1P51E07	E1P51F01	E1P51F02	E1P51F07	E1P51G03	E1P51G10	E1P52B04	E1P52B05	E1P52C02	E1P52C05	E1P52D05	E1P52D08	E1P52E05	E1P52F11	E1P52G01	E1P52G08	E1P52H03	E1P52H10	E1P53B01	E1P53E09	E1P53G01	E1P54A09	E1P54A12	E1P54B09	E1P54C09	E1P54C11	E1P54C12	E1P54D06	E1P54D09	E1P54E08	E1P54E09	E1P54G04	E1P54G09	E1P54H09	E1P55B09	E1P55D08	E1P55E06	E1P55E08	E1P55E12	E1P55F06	E1P55F07	E1P55G09	E1P56B03	E1P56B07	E1P56B09	E1P56C03	E1P56C07	E1P56E03	E1P56E06	E1P56E08	E1P56F05	E1P56F07	E1P56F12	E1P56G03	E1P56G09	E1P56H07	E1P57A10	E1P57B05	E1P57C09	E1P57C10	E1P57D04	E1P57D05	E1P57D06	E1P57E01	E1P57E02	E1P57E03	E1P57E04	E1P57E06	E1P57E09	E1P57F01	E1P57F05	E1P57G01	E1P57H02	E1P57H06	E1P57H12	E1P58A03	E1P58A04	E1P58A08	E1P58A09	E1P58B01	E1P58D05	E1P58D08	E1P58E06	E1P58G02	E1P58G10	E1P58H04	E1P58H08	E1P59A04	E1P59A07	E1P59B01	E1P59C04	E1P59C05	E1P59D05	E1P59D07	E1P59D09	E1P59E09	E1P59E10	E1P59F02	E1P59F04	E1P59F06	E1P59G07	E1P59G09	E1P59H02	E1P59H03	E1P59H08	E1P59H09	E1P5A03	E1P5A10	E1P5B01	E1P5B03	E1P5B04	E1P5B05	E1P5B06	E1P5B07	E1P5C03	E1P5C06	E1P5C07	E1P5D06	E1P5E04	E1P5E06	E1P5F03	E1P5G01	E1P5G03	E1P5G04	E1P5H01	E1P5H03	E1P5H06	E1P60A02	E1P60B05	E1P60C05	E1P60C07	E1P60D03	E1P60D05	E1P60D06	E1P60D07	E1P60E07	E1P60E09	E1P60F11	E1P60G07	E1P61B01	E1P61B04	E1P61B12	E1P61D09	E1P61E05	E1P61E07	E1P61E08	E1P61E10	E1P61G03	E1P61H04	E1P61H09	E1P61H10	E1P62A03	E1P62B02	E1P62B03	E1P62B06	E1P62B07	E1P62B12	E1P62D01	E1P62D04	E1P62D08	E1P62E06	E1P62E07	E1P62E08	E1P62E10	E1P62F09	E1P62F10	E1P62G06	E1P62G07	E1P62G09	E1P62G10	E1P62H03	E1P62H08	E1P63B02	E1P63B09	E1P63C05	E1P63C11	E1P63D02	E1P63D04	E1P63D07	E1P63D08	E1P63E04	E1P63E10	E1P63F08	E1P63F11	E1P63G03	E1P63H06	E1P63H10	E1P64B04	E1P64B07	E1P64B09	E1P64C05	E1P64D01	E1P64D04	E1P64D05	E1P64D09	E1P64E01	E1P64E06	E1P64G03	E1P64G07	E1P64H02	E1P64H05	E1P64H07	E1P64H09	E1P65A04	E1P65B05	E1P65B07	E1P65D03	E1P65D04	E1P65E04	E1P65F05	E1P65G07	E1P65H02	E1P66E01	E1P66E04	E1P66F05	E1P66H06	E1P67B04	E1P67C07	E1P67C10	E1P67C11	E1P67E06	E1P67G07	E1P67G09	E1P68A05	E1P68A08	E1P68A09	E1P68B02	E1P68B03	E1P68B08	E1P68B09	E1P68B12	E1P68C02	E1P68C06	E1P68C07	E1P68C08	E1P68C09	E1P68D03	E1P68D09	E1P68D12	E1P68E08	E1P68E12	E1P68F01	E1P68F07	E1P68F08	E1P68F09	E1P68G01	E1P68G07	E1P68G08	E1P68H08	E1P69B08	E1P69B09	E1P69C04	E1P69C06	E1P69C08	E1P69C10	E1P69D06	E1P69E09	E1P69F07	E1P69F09	E1P69G09	E1P69G10	E1P69H06	E1P69H10	E1P6B01	E1P6B06	E1P6C03	E1P6C06	E1P6D01	E1P6D04	E1P6E01	E1P6E06	E1P6E12	E1P6F01	E1P6F06	E1P6G01	E1P6H01	E1P70E07	E1P70F06	E1P70F07	E1P70G07	E1P70G08	E1P71A02	E1P71A08	E1P71A11	E1P71B02	E1P71B05	E1P71B08	E1P71B11	E1P71E08	E1P71E09	E1P71F07	E1P71F08	E1P71G08	E1P71H03	E1P71H09	E1P71H10	E1P7B04	E1P7G03	E1P8A03	E1P8B02	E1P8B03	E1P8C02	E1P8C10	E1P8D03	E1P8E12	E1P8F01	E1P8F03	E1P8G02	E1P8G03	E1P8H01	E1P8H03	E1P9A03	E1P9C03	E1P9D01	E1P9D02	E1P9E01	E1P9E02	E1P9E03	E1P9F02	E1P9F10	E1P9F11	E1P9G01	E1P9G10	E1P9H01	E1P9H03	E1P9H06	KO
ASV_1	6	5	9	15	3	3	8	10	3	6	14	10	6	3	11	10	3	13	5	12	12	7	16	6	2	11	16	9	10	10	16	9	9	10	8	6	8	9	6	24	24	12	9	18	11	4	10	8	17	11	8	9	15	7	8	7	8	9	14	14	12	11	7	7	8	7	4	8	14	11	24	8	6	16	3	5	1	5	5	1	4	3	8	8	4	7	6	5	5	4	10	9	7	8	4	7	7	9	7	4	7	10	3	6	7	8	2	7	10	9	10	9	5	12	4	5	4	12	7	5	13	4	14	4	7	4	6	2	7	7	6	11	10	18	4	6	6	1	6	7	16	14	10	11	9	8	4	6	8	9	7	4	5	5	6	8	3	5	8	3	5	7	4	6	5	6	11	3	12	9	6	6	8	3	8	7	5	8	5	6	5	3	9	6	6	9	5	2	6	8	5	6	6	7	2	11	4	3	6	9	3	5	3	7	10	6	3	3	4	3	2	5	3	7	6	10	9	6	4	5	6	3	12	6	4	2	5	6	12	2	10	6	4	9	8	5	5	9	13	8	14	3	7	6	11	13	8	5	2	4	5	15	2	7	12	9	2	3	3	8	7	5	7	4	7	7	7	9	9	9	8	8	8	3	4	5	8	9	7	5	10	3	6	3	3	3	4	2	3	6	9	2	7	6	5	5	13	3	9	9	6	7	2	7	9	15	16	8	10	5	8	7	13	10	2	9	10	14	19	1	4	4	5	6	3	4	3	5	9	6	6	1	15	3	8	5	4	2	2	3	14	6	6	4	8	8	6	5	10	9	14	6	8	8	11	8	7	7	6	6	11	9	3	5	7	7	3	6	9	6	3	7	3	5	6	15	4	5	4	3	19	5	3	6	4	5	8	3	3	7	4	9	13	3	7	3	5	15	12	11	4	7	4	8	10	7	5	3	5	9	9	4	16	3	6	6	3	6	6	7	10	3	6	8	6	5	4	8	4	8	5	3	7	5	3	14	4	3	3	2	5	6	16	4	3	6	6	6	7	12	7	5	3	7	8	3	8	6	6	6	5	6	8	4	13	22	5	10	4	6	9	4	6	2	11	7	5	6	8	14	12	2	8	6	8	6	6	9	3	10	8	4	4	7	12	1	2	3	7	3	8	10	13	7	6	11	10	7	6	3	2	13	6	6	3	6	11	4	11	7	10	6	8	5	3	3	2	7	1	6	7	11	7	12	4	9	4	8	4	5	5	3	6	2	4	2	13	2	5	1	6	8	8	5	6	6	10	3	9	2	8	6	5	3	4	8	13	9	17	10	7	4	4	3	4	6	6	8	7	2	4	8	7	11	10	3	5	5	1	19	5	10	3	5	4	7	4	9	4	8	5	7	10	5	6	6	6	10	8	6	5	8	3	7	12	3	4	5	9	8	5	4	4	4	4	7	10	5	8	10	2	2	15	10	9	5	3	10	2	6	8	7	8	12	7	2	5	9	3	6	8	5	5	5	6	6	8	4	7	11	3	6	6	8	10	18	5	7	2	2	3	7	5	7	4	3	5	5	7	8	4	0	9	5	3	7	2	11	5	4	2	5	6	6	7	11	7	7	6	8	8	3	5	2	2	3	4	5	4	4	6	9	3	5	7	2	6	2	8	4	5	9	4	8	4	8	5	6	5	7	4	4	6	11	19	10	2	9	3	6	10	4	10	9	5	7	13	11	11	2	7	8	6	4	5	1	3	8	7	8	14	8	5	9	4	6	3	2	5	12	10	8	7	8	1	9	7	4	13	6	1	15	14	3	4	9	6	7	3	21	9	17	5	6	11	10	6	5	4	12	4	8	4	13	5	8	5	12	14	5	13	4	7	7	10	7	8	8	11	4	3	6	5	7	11	5	9	8	7	10	16	6	7	17	5	4	4	5	4	6	5	3	4	17	11	3	4	8	17	11	10	2	3	8	5	9	3	9	12	8	2	5	10	14	3	5	13	6	7	18	5	6	7	11	7	8	17	12	11	11	17	13	7	11	7	11	8	15	9	7	19	3	4	5	6	6	4	5	9	10	4	11	6	11	8	2	10	8	8	11	17	11	6	8	3	3	4	5	4	4	3	6	3	4	8	4	8	3	8	4	8	7	5	3	6	4	3	5	11	5	1	8	10	5	11	4	7	6	12	15	7	9	4	7	11	10	3	6	3	11	4	12	6	4	7	6	7	7	5	3	5	3	5	5	1	4	5	7	7	4	2	8	5	9	12	7	14	6	11	2	6	5	3	6	6	5	6	10	2	7	4	6	4	8	5	7	7	5	12	9	6	6	8	8	9	7	6	7	5	5	2	13	3	7	3	6	4	5	7	12	6	7	6	5	6	3	5	6	6	2	Delftia
ASV_10	2	1	1	10	3	2	5	1	2	4	7	6	0	2	5	4	1	6	5	12	5	1	10	5	3	3	6	4	2	5	6	3	7	8	5	2	5	3	4	8	8	3	5	4	1	5	7	2	4	4	4	2	4	8	6	5	4	3	5	7	6	6	5	3	4	2	3	4	6	7	5	4	4	6	4	3	3	4	2	3	4	7	1	3	1	3	5	1	1	7	7	3	4	7	0	3	9	4	5	2	1	3	3	2	3	2	0	2	4	4	2	1	2	4	3	6	4	4	8	2	2	3	7	4	7	2	5	2	2	4	2	5	9	7	1	6	6	2	7	2	7	12	5	6	2	4	3	3	2	4	0	6	2	4	3	2	3	2	1	4	2	2	0	1	7	5	3	3	3	6	1	6	3	1	2	2	1	4	4	2	3	1	2	3	2	0	3	3	6	5	0	2	9	0	3	1	4	2	3	3	2	1	1	3	5	1	2	5	1	2	6	3	7	4	6	0	7	5	3	3	7	2	1	2	2	4	3	5	4	4	2	4	2	2	5	2	2	6	6	4	5	2	2	1	4	7	4	2	1	2	2	5	2	0	6	6	0	1	2	0	0	3	2	0	3	4	3	1	3	4	2	6	4	2	4	3	1	2	5	4	6	4	3	4	3	4	4	1	1	7	5	0	2	4	2	1	4	5	5	2	4	1	3	6	3	10	6	2	3	3	1	1	10	3	3	4	5	4	13	1	0	4	0	5	3	2	2	2	1	2	3	5	11	4	3	5	4	3	7	1	4	5	6	3	4	1	3	7	6	4	6	2	5	1	4	4	6	0	2	1	4	4	4	2	5	5	5	2	5	5	2	3	2	2	5	6	2	3	5	6	6	2	3	4	3	3	5	3	0	5	5	5	6	2	2	4	1	7	5	4	1	2	2	7	2	1	1	0	1	2	4	0	2	1	3	5	1	2	6	3	7	1	2	2	5	2	6	6	5	2	5	1	4	2	2	1	2	3	3	2	1	3	7	4	4	3	3	2	6	8	1	4	3	1	5	2	1	1	6	3	4	6	2	3	4	6	2	3	4	2	2	4	5	6	7	6	6	0	6	8	8	2	4	4	2	4	1	4	5	3	1	3	3	2	6	1	3	8	3	3	6	5	7	4	1	3	5	2	0	0	6	6	1	4	3	1	4	5	8	4	6	4	2	0	1	2	3	3	5	6	4	4	4	8	3	3	0	5	4	2	2	3	1	2	2	4	4	4	3	0	2	2	8	5	4	4	0	2	2	2	3	3	5	3	4	4	3	5	5	1	1	2	2	3	5	3	2	2	1	2	2	3	3	4	1	3	6	4	2	8	1	5	6	0	4	6	0	2	0	4	3	3	2	2	3	0	3	3	2	0	4	1	1	1	4	4	6	2	3	1	2	3	0	4	2	3	3	3	4	5	3	5	7	5	2	1	3	8	1	1	1	5	3	4	5	3	2	7	1	2	1	6	2	2	4	3	0	0	2	2	2	5	3	4	3	4	1	9	3	3	2	1	3	2	4	2	3	4	3	7	2	3	4	3	1	1	3	3	2	1	6	7	6	1	3	3	2	6	2	4	6	1	4	3	3	2	1	1	3	3	1	2	2	0	2	3	1	4	4	3	1	2	3	3	7	5	0	2	3	2	2	1	0	3	13	5	3	4	4	4	5	2	6	3	2	2	7	5	7	4	0	2	6	3	2	6	4	5	2	2	10	1	4	5	4	2	4	4	4	3	5	6	3	6	3	4	3	2	9	4	4	7	7	4	3	2	2	4	2	11	2	9	4	6	8	2	10	3	2	6	3	3	2	1	1	4	7	5	2	5	4	4	7	7	6	1	2	0	10	2	0	7	4	6	1	0	4	10	1	0	6	6	3	1	5	1	1	6	0	4	4	2	2	2	13	2	4	4	12	5	2	3	2	8	4	4	3	13	10	3	3	3	2	7	4	4	3	3	7	6	4	0	2	6	1	1	2	5	2	3	12	5	4	6	1	1	4	4	3	2	8	4	2	3	2	1	2	1	3	1	3	4	3	3	3	1	12	4	3	9	9	1	5	5	2	0	2	3	4	3	1	4	5	2	1	0	8	1	6	2	4	0	2	0	0	4	4	2	8	6	1	5	5	5	2	0	4	2	1	6	5	7	4	7	6	1	4	1	1	6	0	2	6	3	3	3	3	3	1	5	1	3	5	2	2	4	0	7	5	2	1	4	0	3	7	4	5	0	8	2	7	0	0	3	5	0	4	5	3	2	2	1	4	4	1	6	2	2	10	4	2	0	9	1	4	5	6	0	5	3	5	3	2	4	2	3	3	3	2	5	3	2	5	2	4	4	5	5	2	2	Pantoea
ASV_100	2	0	0	0	0	1	0	0	1	0	3	1	0	0	1	0	0	1	0	1	2	0	1	1	0	0	2	0	2	0	3	0	1	1	1	0	1	1	1	3	4	0	4	3	1	2	4	1	0	0	3	0	0	0	2	1	0	0	1	1	2	0	0	1	0	0	0	3	3	0	2	0	1	1	0	1	1	2	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	2	0	1	1	0	0	2	0	0	0	0	2	2	1	1	1	2	0	0	1	1	2	0	0	1	2	1	0	0	1	0	0	1	0	2	3	0	0	0	0	0	0	0	1	0	1	0	2	1	4	1	0	0	0	0	3	0	0	2	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	2	1	0	0	0	0	1	1	1	2	1	0	1	0	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	2	0	0	0	1	1	0	0	1	0	2	1	1	1	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	2	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	2	0	1	0	1	0	0	2	0	0	1	2	1	2	0	1	1	2	0	1	0	0	0	1	0	1	3	0	0	0	0	2	0	0	1	0	1	0	0	2	2	0	1	1	2	0	0	1	0	0	0	2	1	2	0	0	0	0	1	1	0	1	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	1	0	2	2	1	0	2	2	1	1	0	0	0	1	0	1	0	1	2	1	0	0	2	0	0	1	0	0	0	0	1	1	0	0	2	3	0	1	0	0	3	2	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	1	1	0	1	2	0	1	2	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	3	0	0	1	1	0	1	0	0	1	1	0	0	4	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	2	0	3	0	1	1	0	1	0	0	2	0	2	2	0	0	0	1	5	1	1	1	0	0	0	2	2	0	1	0	0	2	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	3	1	0	0	1	1	0	1	0	0	1	2	3	1	1	1	1	1	0	0	2	0	1	1	0	1	0	0	1	0	0	0	2	0	0	1	0	0	1	2	1	0	1	0	2	0	1	1	1	1	2	0	1	0	1	1	0	0	0	2	1	1	3	0	1	0	0	0	0	0	1	1	2	0	0	2	1	1	2	1	0	0	1	0	1	0	1	0	0	3	2	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	3	1	0	0	0	0	1	1	1	0	0	2	0	1	1	1	0	1	0	1	0	0	1	0	1	2	0	0	1	2	1	0	5	2	3	1	1	3	1	1	3	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	1	2	2	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	3	0	0	0	1	2	0	2	0	2	1	1	2	1	1	1	2	0	2	0	1	1	0	0	2	1	1	0	0	1	1	0	0	1	0	0	0	5	0	1	0	2	0	1	3	0	0	0	1	1	1	0	1	2	2	0	2	1	1	1	2	1	1	1	1	2	0	0	2	3	1	1	1	0	1	1	2	1	3	3	3	1	0	1	2	1	0	0	0	1	2	0	1	1	1	0	1	0	0	0	0	2	0	0	1	0	1	0	0	2	0	0	0	1	1	1	0	1	0	0	3	0	0	2	0	1	0	1	0	1	0	1	0	1	1	1	1	2	0	3	0	0	0	2	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	3	1	0	4	0	3	2	2	1	2	1	2	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	1	0	0	2	0	3	0	1	1	1	0	0	3	0	0	0	0	0	1	1	0	1	0	1	4	1	1	0	2	1	1	0	0	2	0	0	2	0	0	0	0	0	0	1	1	2	0	0	1	0	1	1	0	1	0	0	0	1	0	Stenotrophomonas
